Geneid,glyphosatea,glyphosateb,watera,waterb
LOC122585094,0,0,0,0
LOC122584665,896,648,1647,997
LOC122597844,0,2,2,1
LOC122585154,0,0,0,0
LOC122604194,861,1017,368,361
LOC122584666,74,71,226,177
LOC122581720,13,0,1,6
LOC122584788,5,4,0,0
LOC122585219,0,0,0,0
LOC122585236,0,0,0,0
LOC122585443,0,5,1,1
LOC122585264,0,0,0,0
LOC122585314,0,0,0,0
LOC122586089,42,35,20,25
LOC122585495,60,88,225,150
LOC122585324,0,0,0,0
LOC122585332,1,0,0,0
LOC122585360,1,1,4,0
LOC122585388,0,0,0,0
LOC122585408,0,0,0,0
LOC122585426,0,0,0,0
LOC122585435,0,0,0,0
LOC122581775,128,179,343,226
LOC122586022,0,0,0,0
LOC122596741,3343,2834,6290,5395
LOC122585493,0,0,0,0
LOC122589609,0,0,0,0
LOC122585504,0,0,0,0
LOC122585514,0,0,0,0
LOC122585523,77,58,120,133
LOC122585533,0,0,0,0
LOC122585543,0,0,0,0
LOC122585594,1,2,5,1
LOC122584030,30,33,89,64
LOC122585600,0,0,0,0
LOC122585628,0,0,0,0
LOC122585538,191,219,364,316
LOC122585906,0,0,0,0
LOC122584454,41,78,42,84
LOC122586021,204,198,462,329
LOC122585645,0,0,4,2
LOC122606157,46,127,393,340
LOC122606167,0,1,26,45
LOC122585675,0,0,0,0
LOC122586212,0,0,0,0
LOC122586159,8,2,1,1
LOC122585662,2,4,0,0
LOC122585685,0,1,0,0
LOC122585294,446,306,541,304
LOC122584939,115,154,615,434
LOC122596614,0,0,0,1
LOC122585717,0,0,0,0
LOC122585704,0,0,0,0
LOC122605282,81,94,248,139
LOC122585529,366,401,488,375
LOC122585741,0,0,7,1
LOC122585068,0,2,1,1
LOC122601006,42,88,190,141
LOC122601021,720,605,2066,1919
LOC122585927,3,2,6,5
LOC122605507,1487,1726,5102,3278
LOC122579673,454,660,269,136
LOC122605886,507,512,1134,974
LOC122603389,560,337,600,411
LOC122585067,614,488,2461,2261
LOC122600299,1295,1123,1373,1164
LOC122585788,0,2,0,0
LOC122585798,2,7,3,1
LOC122585939,6206,5677,13922,10323
LOC122585827,0,0,0,0
LOC122583494,476,320,721,613
LOC122578892,138,155,297,243
LOC122608006,197,215,448,399
LOC122585881,0,0,0,0
LOC122585871,124,106,133,102
LOC122585880,0,0,0,0
LOC122585905,32,9,1,0
LOC122603941,830,954,1503,1202
LOC122605858,666,500,680,526
LOC122605878,1,1,3,1
LOC122610932,97,99,168,144
LOC122600609,691,860,2274,1442
LOC122579274,1417,1630,4780,3905
LOC122585935,0,0,1,0
LOC122584513,488,828,1869,1673
LOC122585963,0,0,0,0
LOC122585974,1,1,0,0
LOC122608188,43,53,261,183
LOC122582886,489,2367,151,12
LOC122586010,1439,1715,204,56
LOC122597650,962,1397,69,35
LOC122585446,9,4,14,24
LOC122585467,533,354,424,362
LOC122586020,0,0,0,0
LOC122586031,0,2,3,0
LOC122583159,906,829,984,701
LOC122584714,491,321,48,22
LOC122586130,5,10,0,2
LOC122586042,0,0,0,0
LOC122586053,0,0,0,0
LOC122584150,1058,979,1658,1289
LOC122608843,3866,2977,1931,1453
LOC122586091,0,0,1,0
LOC122585646,1607,802,14,7
LOC122580033,228,209,271,256
LOC122610043,1120,1148,1751,1698
LOC122578042,0,0,1,1
LOC122602386,1953,1460,1738,1421
LOC122585684,5,6,23,14
LOC122607790,1379,1059,1183,805
LOC122584333,611,588,970,709
LOC122586134,0,0,0,0
LOC122585544,320,290,463,462
TRNAM-CAU,0,0,0,0
LOC122586145,0,0,1,0
LOC122598843,7269,4884,1359,1069
LOC122586154,0,0,0,0
LOC122586162,0,0,0,0
LOC122584971,2914,2359,159,170
LOC122603785,1346,1458,6388,4273
LOC122603773,2471,2747,3424,2465
LOC122584557,41,84,521,519
LOC122584545,846,783,1135,914
LOC122586198,0,0,0,0
LOC122584857,787,733,1036,816
LOC122599208,1734,1733,2564,2208
LOC122586214,2,3,14,8
LOC122585075,278,493,2572,2105
LOC122599292,2316,3079,10732,7385
LOC122598957,286,295,2442,2464
LOC122598947,6,8,44,47
LOC122580503,270,427,980,567
LOC122586230,0,0,0,0
LOC122601204,1169,1338,8596,8512
LOC122601196,1145,1322,1577,1272
LOC122586247,0,0,0,0
LOC122586263,0,0,0,0
LOC122586293,0,0,0,0
LOC122586322,0,0,0,0
LOC122586333,0,0,0,0
LOC122585128,874,764,792,650
LOC122586345,0,0,1,0
LOC122586351,0,0,0,0
LOC122586365,0,0,0,0
LOC122585505,0,0,0,0
LOC122585187,35,13,0,0
LOC122585512,0,0,0,0
LOC122586392,0,0,0,0
LOC122597414,0,0,0,0
LOC122586402,0,0,0,0
LOC122585517,3,0,0,0
LOC122585422,2,0,0,0
LOC122602932,9992,9188,8672,8033
LOC122599153,155,90,155,91
LOC122586408,52,11,34,82
LOC122586206,0,0,0,0
LOC122605292,3551,2965,3048,2336
LOC122585861,0,0,1,0
LOC122586420,4,8,1,1
LOC122586442,98,86,392,302
LOC122586451,0,0,0,0
LOC122608113,4088,2136,582,600
LOC122608121,10,44,280,219
LOC122600379,8,9,67,49
LOC122600406,2,23,93,61
LOC122586480,0,0,0,0
LOC122600370,360,211,269,172
LOC122600397,29,34,135,108
LOC122609001,11,18,113,93
LOC122608938,10,2,13,61
LOC122605627,8,18,121,82
LOC122597056,0,0,0,0
LOC122601939,2,9,41,32
LOC122601916,13,7,29,49
LOC122585397,8,24,158,64
LOC122585398,10,7,81,84
LOC122586518,0,0,0,0
LOC122586527,0,0,0,0
LOC122585395,87,254,232,136
LOC122585394,142,122,339,311
LOC122585399,12,16,83,53
LOC122586545,0,0,0,0
LOC122586066,2,1,0,0
LOC122586557,0,0,0,0
